lake,armored,bedrock,eroding bank (unconsol.),flats,gravel,mixed sand and gravel,sand,veg. bank or bluff,wetland,"NATURAL, type unknown",NO DATA
Erie,583.0,83.0,198.0,0.0,14.0,121.0,63.0,17.0,111.0,28.0,6.0
Huron,267.0,549.0,31.0,20.0,419.0,212.0,233.0,24.0,510.0,84.0,18.0
Michigan,465.0,14.0,317.0,0.0,91.0,166.0,244.0,88.0,433.0,0.0,5.0
Ontario,438.0,127.0,83.0,4.0,256.0,14.0,23.0,21.0,105.0,172.0,26.0
St. Clair,141.0,1.0,0.0,0.0,0.0,1.0,1.0,22.0,69.0,0.0,0.0
Superior,67.0,420.0,3.0,4.0,409.0,80.0,33.0,8.0,38.0,89.0,1154.0
